date,receipt_id,sku_id,quantity,unit_price,total_value
2024-01-01,R000001,SKU029,2,7.18,14.36
2024-01-01,R000001,SKU012,1,3.19,3.19
2024-01-01,R000002,SKU004,1,3.03,3.03
2024-01-01,R000002,SKU008,1,4.74,4.74
2024-01-01,R000002,SKU002,1,4.7,4.7
2024-01-01,R000003,SKU015,1,5.89,5.89
2024-01-01,R000004,SKU003,2,4.81,9.62
2024-01-01,R000005,SKU006,2,4.26,8.52
2024-01-01,R000006,SKU023,2,5.09,10.18
2024-01-01,R000007,SKU013,1,4.79,4.79
2024-01-01,R000008,SKU011,1,3.94,3.94
2024-01-01,R000008,SKU004,3,3.03,9.09
2024-01-01,R000009,SKU013,1,4.79,4.79
2024-01-01,R000009,SKU027,1,4.4,4.4
2024-01-01,R000009,SKU010,1,3.5,3.5
2024-01-01,R000010,SKU009,1,6.21,6.21
2024-01-01,R000010,SKU010,1,3.5,3.5
2024-01-01,R000011,SKU025,1,4.92,4.92
2024-01-01,R000011,SKU025,1,4.92,4.92
2024-01-01,R000012,SKU001,1,3.59,3.59
2024-01-01,R000013,SKU017,3,5.73,17.19
2024-01-01,R000013,SKU005,1,3.94,3.94
2024-01-01,R000013,SKU021,1,4.55,4.55
2024-01-01,R000014,SKU014,1,4.9,4.9
2024-01-01,R000015,SKU010,2,3.5,7.0
2024-01-01,R000015,SKU003,3,4.81,14.43
2024-01-01,R000015,SKU023,2,5.09,10.18
2024-01-01,R000016,SKU015,1,5.89,5.89
2024-01-01,R000016,SKU022,2,4.13,8.26
2024-01-01,R000017,SKU027,1,4.4,4.4
2024-01-01,R000018,SKU005,3,3.94,11.82
2024-01-01,R000019,SKU014,1,4.9,4.9
2024-01-01,R000019,SKU020,1,5.09,5.09
2024-01-01,R000020,SKU004,1,3.03,3.03
2024-01-01,R000020,SKU015,2,5.89,11.78
2024-01-01,R000021,SKU012,2,3.19,6.38
2024-01-01,R000022,SKU021,1,4.55,4.55
2024-01-01,R000023,SKU014,1,4.9,4.9
2024-01-01,R000024,SKU014,1,4.9,4.9
2024-01-01,R000024,SKU023,2,5.09,10.18
2024-01-01,R000024,SKU021,3,4.55,13.649999999999999
2024-01-01,R000025,SKU007,2,3.79,7.58
2024-01-01,R000025,SKU027,1,4.4,4.4
2024-01-01,R000025,SKU008,2,4.74,9.48
2024-01-01,R000025,SKU001,1,3.59,3.59
2024-01-01,R000026,SKU012,1,3.19,3.19
2024-01-01,R000026,SKU018,2,4.1,8.2
2024-01-01,R000027,SKU011,1,3.94,3.94
2024-01-01,R000028,SKU025,2,4.92,9.84
2024-01-01,R000029,SKU007,1,3.79,3.79
2024-01-01,R000029,SKU010,1,3.5,3.5
2024-01-01,R000030,SKU019,1,5.93,5.93
2024-01-01,R000031,SKU014,1,4.9,4.9
2024-01-01,R000031,SKU001,1,3.59,3.59
2024-01-01,R000032,SKU026,1,5.45,5.45
