sku_id,sku_name,category,subcategory,unit_price,unit_cost
SKU001,Espresso Variation 1,Coffee,Espresso,3.23,0.46
SKU002,Espresso Variation 2,Coffee,Espresso,3.49,0.48
SKU003,Espresso Variation 3,Coffee,Espresso,4.76,0.67
SKU004,Latte Variation 1,Coffee,Latte,6.0,0.95
SKU005,Cappuccino Variation 1,Coffee,Cappuccino,4.18,0.62
SKU006,Drip Coffee Variation 1,Coffee,Drip Coffee,4.71,0.69
SKU007,Drip Coffee Variation 2,Coffee,Drip Coffee,4.24,0.6
SKU008,Cold Brew Variation 1,Coffee,Cold Brew,4.85,0.72
SKU009,Cold Brew Variation 2,Coffee,Cold Brew,5.57,0.84
SKU010,Americano Variation 1,Coffee,Americano,3.04,0.44
SKU011,Americano Variation 2,Coffee,Americano,3.35,0.46
SKU012,Matcha Variation 1,Tea,Matcha,5.95,0.92
SKU013,Matcha Variation 2,Tea,Matcha,4.74,0.71
SKU014,Matcha Variation 3,Tea,Matcha,4.92,0.78
SKU015,Chai Latte Variation 1,Tea,Chai Latte,4.75,0.67
SKU016,Chai Latte Variation 2,Tea,Chai Latte,5.02,0.83
SKU017,Iced Tea Variation 1,Tea,Iced Tea,4.3,0.62
SKU018,Croissant Variation 1,Pastries,Croissant,3.94,1.36
SKU019,Croissant Variation 2,Pastries,Croissant,3.53,1.23
SKU020,Croissant Variation 3,Pastries,Croissant,4.68,1.6
SKU021,Blueberry Muffin Variation 1,Pastries,Blueberry Muffin,4.35,1.53
SKU022,Blueberry Muffin Variation 2,Pastries,Blueberry Muffin,5.15,1.69
SKU023,Chocolate Chip Cookie Variation 1,Pastries,Chocolate Chip Cookie,4.19,1.41
SKU024,Scone Variation 1,Pastries,Scone,4.98,1.69
SKU025,Scone Variation 2,Pastries,Scone,4.7,1.69
SKU026,Scone Variation 3,Pastries,Scone,3.8,1.4
SKU027,Breakfast Sandwich Variation 1,Food,Breakfast Sandwich,11.37,5.37
SKU028,Avocado Toast Variation 1,Food,Avocado Toast,11.67,5.1
SKU029,Avocado Toast Variation 2,Food,Avocado Toast,8.83,4.09
SKU030,Whole Bean Coffee Variation 1,Merchandise,Whole Bean Coffee,23.59,12.97
SKU031,Travel Mug Variation 1,Merchandise,Travel Mug,23.89,11.56
